ADP by AOR - All Facilities,
AOR,FY18 ADP
ATL,"3,503"
BAL,326
BOS,767
BUF,634
CHI,"1,628"
DAL,"1,155"
DEN,648
DET,"1,115"
ELP,"2,562"
HOU,"2,675"
LOS,"2,726"
MIA,"2,071"
NEW,"1,013"
NOL,"2,577"
NYC,"1,708"
PHI,"1,088"
PHO,"3,715"
SEA,"1,531"
SFR,"1,048"
SLC,484
SNA,"8,409"
SND,"1,789"
SPM,804
WAS,899
TOTAL,"44,872"
